time,topic,related,emotion,content,comment
6.33333,3,1,2.0,5,NICE CHAT LUL
6.66667,,2,0,3,Don't google it MEGALUL
8.00000,3,1,1.0,5,Nice chat
9.00000,6,1,0.0,1,haHAA mods haHAA
9.50000,5,2,0.0,5,(ditto) Citperv (ditto)
10.00000,6,1,0.0,5,did you learn to viewbot Nev? thats alot of viewers for you
10.50000,8,1,1.0,2,Kappa
11.00000,3,2,0.0,5,does this kid have autism
11.50000,2,2,0.0,1,"@Get_fail, P4wnyhof"
12.00000,,2,0.0,1,Ỏ̷͖͈̞̩͎̻̫̫̜͉̠̫͕̭̭̫̫̹̗̹͈̼̠̖͍͚̥͈̮̼͕̠̤̯̻̥̬̗̼̳̤̳̬̪̹͚̞̼̠͕̼̠̦͚̫͔̯̹͉͉̘͎͕̼̣̝͙̱̟̹̩̟̳̦̭͉̮̖̭̣̣̞̙̗̜̺̭̻̥͚͙̝̦̲̱͉͖͉̰̦͎̫̣̼͎͍̠̮͓̹̹͉̤̰̗̙͕͇͔̱͕̭͈̳̗̭͔̘̖̺̮̜̠͖̘͓̳͕̟̠̱̫̤͓͔̘̰̲͙͍͇̙͎̣̼̗̖͙̯͉̠̟͈͍͕̪͓̝̩̦̖̹̼̠̘̮͚̟͉̺̜͍͓̯̳̱̻͕̣̳͉̻̭̭̱͍̪̩̭̺͕̺̼̥̪͖̦̟͎̻̰_Ỏ̷͖͈̞̩͎̻̫̫̜͉̠̫͕̭̭̫̫̹̗̹͈̼̠̖͍͚̥͈̮̼͕̠̤̯̻̥̬̗̼̳̤̳̬̪̹͚̞̼̠͕̼̠̦͚̫͔̯̹͉͉̘͎͕̼̣̝͙̱̟̹̩̟̳̦̭͉̮̖̭̣̣̞̙̗̜̺̭̻̥͚͙̝̦̲̱͉͖͉̰̦͎̫̣̼͎͍̠̮͓̹̹͉̤̰̗̙͕͇͔̱͕̭͈̳̗̭͔̘̖̺̮̜̠͖̘͓̳͕̟̠̱̫̤͓͔̘̰̲͙͍͇̙͎̣̼̗̖͙̯͉̠̟͈͍͕̪͓̝̩̦̖̹̼̠̘̮͚̟͉̺̜͍͓̯̳̱̻͕̣̳͉̻̭̭̱͍̪̩̭̺͕̺̼̥̪͖̦̟͎̻̰Ỏ̷͖͈̞̩͎̻̫̫̜͉̠̫͕̭̭̫̫̹̗̹͈̼̠̖͍͚̥͈̮̼͕̠̤̯̻̥̬̗̼̳̤̳̬̪̹͚̞̼̠͕̼̠̦͚̫͔̯̹͉͉̘͎͕̼̣̝͙̱̟̹̩
12.50000,1,2,0.0,5,this guy is an absolute psychopath
14.00000,,2,0.0,5,̅̅̃̄̅̂̂̈̄̀̀̀̀̆̄̂́́̀̄̀̂̂̂̈̈̃́̂̆̂̀̆̀̃́̆̀̂̀̀̈̆́̀̀̂̄̃́̂̂̀̋̀̂̃̂̇̃̌̊̆̃ Ỏ͖͈̞̩͎̻̫̫̜͉̠̫͕̭̭̫̫̹̗̹͈̼̠̖͍͚̥͈̮̼͕̠̤̯̻̥̬̗̼̳̤̳̬̪̹͚̞̼̠͕̼̠̦͚̫͔̯̹͉͉̘͎͕̼̣̝͙̱̟̹̩̟̳̦̭͉̮̖̭̣̣̞̙̗̜̺̭̻̥͚͙̝̦̲̱͉͖͉̰̦͎̫̣̼͎͍̠̮͓̹̹͉̤̰̗̙͕͇͔̱͕̭͈̳̗̭͔̘̖̺̮̜̠͖̘͓̳͕̟̠̱̫̤͓͔̘̰̲͙͍͇̙͎̣̼̗̖͙̯͉̠̟͈͍͕̪͓̝̩̦̖̹̼̠̘̮͚̟͉̺̜͍͓̯̳̱̻͕̣̳͉̻̭̭̱͍̪̩̭̺͕̺̼̥̪͖̦̟͎̻ ปี้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้
17.00000,,2,0.0,5,1 ฏ๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎ํํํํํํํํํํํํํํํํํํํํํํํํํํ ̅̅̃̄̅̂̂̈̄̀̀̀̀̆̄̂́́̀̄̀̂̂̂̈̈̃́̂̆̂̀̆̀̃́̆̀̂̀̀̈̆́̀̀̂̄̃́̂̂̀̋̀̂̃̂̇̃̌̊̆̃ Ỏ͖͈̞̩͎̻̫̫̜͉̠̫͕̭̭̫̫̹̗̹͈̼̠̖͍͚̥͈̮̼͕̠̤̯̻̥̬̗̼̳̤̳̬̪̹͚̞̼̠͕̼̠̦͚̫͔̯̹͉͉̘͎͕̼̣̝͙̱̟̹̩̟̳̦̭͉̮̖̭̣̣̞̙̗̜̺̭̻̥͚͙̝̦̲̱͉͖͉̰̦͎̫̣̼͎͍̠̮͓̹̹͉̤̰̗̙͕͇͔̱͕̭͈̳̗̭͔̘̖̺̮̜̠͖̘͓̳͕̟̠̱̫̤͓͔̘̰̲͙͍͇̙͎̣̼̗̖͙̯͉̠̟͈͍͕̪͓̝̩̦̖̹̼̠̘̮͚̟͉̺̜͍͓̯̳̱̻͕̣̳͉̻̭̭̱͍̪̩̭̺͕̺̼̥̪͖̦̟͎̻ ปี้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้
17.50000,6,1,-13.0,5,6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace
18.00000,,2,0.0,5,: ฏ๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎ํํํํํํํํํํํํํํํํํํํํํํํํํํ ̅̅̃̄̅̂̂̈̄̀̀̀̀̆̄̂́́̀̄̀̂̂̂̈̈̃́̂̆̂̀̆̀̃́̆̀̂̀̀̈̆́̀̀̂̄̃́̂̂̀̋̀̂̃̂̇̃̌̊̆̃ Ỏ͖͈̞̩͎̻̫̫̜͉̠̫͕̭̭̫̫̹̗̹͈̼̠̖͍͚̥͈̮̼͕̠̤̯̻̥̬̗̼̳̤̳̬̪̹͚̞̼̠͕̼̠̦͚̫͔̯̹͉͉̘͎͕̼̣̝͙̱̟̹̩̟̳̦̭͉̮̖̭̣̣̞̙̗̜̺̭̻̥͚͙̝̦̲̱͉͖͉̰̦͎̫̣̼͎͍̠̮͓̹̹͉̤̰̗̙͕͇͔̱͕̭͈̳̗̭͔̘̖̺̮̜̠͖̘͓̳͕̟̠̱̫̤͓͔̘̰̲͙͍͇̙͎̣̼̗̖͙̯͉̠̟͈͍͕̪͓̝̩̦̖̹̼̠̘̮͚̟͉̺̜͍͓̯̳̱̻͕̣̳͉̻̭̭̱͍̪̩̭̺͕̺̼̥̪͖̦̟͎̻ ปี้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้
18.50000,8,1,-26.0,2,BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump BibleThump
19.00000,8,1,1.0,2,YOU ARE A LUL
19.33333,,2,0.0,5,4 ฏ๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎ํํํํํํํํํํํํํํํํํํํํํํํํํํ ̅̅̃̄̅̂̂̈̄̀̀̀̀̆̄̂́́̀̄̀̂̂̂̈̈̃́̂̆̂̀̆̀̃́̆̀̂̀̀̈̆́̀̀̂̄̃́̂̂̀̋̀̂̃̂̇̃̌̊̆̃ Ỏ͖͈̞̩͎̻̫̫̜͉̠̫͕̭̭̫̫̹̗̹͈̼̠̖͍͚̥͈̮̼͕̠̤̯̻̥̬̗̼̳̤̳̬̪̹͚̞̼̠͕̼̠̦͚̫͔̯̹͉͉̘͎͕̼̣̝͙̱̟̹̩̟̳̦̭͉̮̖̭̣̣̞̙̗̜̺̭̻̥͚͙̝̦̲̱͉͖͉̰̦͎̫̣̼͎͍̠̮͓̹̹͉̤̰̗̙͕͇͔̱͕̭͈̳̗̭͔̘̖̺̮̜̠͖̘͓̳͕̟̠̱̫̤͓͔̘̰̲͙͍͇̙͎̣̼̗̖͙̯͉̠̟͈͍͕̪͓̝̩̦̖̹̼̠̘̮͚̟͉̺̜͍͓̯̳̱̻͕̣̳͉̻̭̭̱͍̪̩̭̺͕̺̼̥̪͖̦̟͎̻ ปี้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้
19.66667,,2,0.0,5,ฏ๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎ํํํํํํํํํํํํํํํํํํํํํํํํํํ ̅̅̃̄̅̂̂̈̄̀̀̀̀̆̄̂́́̀̄̀̂̂̂̈̈̃́̂̆̂̀̆̀̃́̆̀̂̀̀̈̆́̀̀̂̄̃́̂̂̀̋̀̂̃̂̇̃̌̊̆̃ Ỏ͖͈̞̩͎̻̫̫̜͉̠̫͕̭̭̫̫̹̗̹͈̼̠̖͍͚̥͈̮̼͕̠̤̯̻̥̬̗̼̳̤̳̬̪̹͚̞̼̠͕̼̠̦͚̫͔̯̹͉͉̘͎͕̼̣̝͙̱̟̹̩̟̳̦̭͉̮̖̭̣̣̞̙̗̜̺̭̻̥͚͙̝̦̲̱͉͖͉̰̦͎̫̣̼͎͍̠̮͓̹̹͉̤̰̗̙͕͇͔̱͕̭͈̳̗̭͔̘̖̺̮̜̠͖̘͓̳͕̟̠̱̫̤͓͔̘̰̲͙͍͇̙͎̣̼̗̖͙̯͉̠̟͈͍͕̪͓̝̩̦̖̹̼̠̘̮͚̟͉̺̜͍͓̯̳̱̻͕̣̳͉̻̭̭̱͍̪̩̭̺͕̺̼̥̪͖̦̟͎̻ ปี้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้
20.00000,6,1,-10.0,5,6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace
20.50000,8,2,0,2,̇̇̇̇
22.00000,6,1,-15.0,5,6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace
23.00000,6,1,-1.0,5,SCAMAZ BEHIND YOU WutFace
24.00000,6,1,-14.0,5,6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace
24.50000,4,1,0.0,1,FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan
25.00000,7,1,-4.0,1,BibleThump i was watching nevz before he was cool BibleThump and i still watch him now and he doesnt notice me anymore BibleThump and he is still not cool BibleThump
26.00000,,2,0.0,5,5423
27.00000,6,1,-16.0,5,6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace
27.50000,,2,0.0,5,: j: ฏ๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎ํํํํํํํํํํํํํํํํํํํํํํํํํํ ̅̅̃̄̅̂̂̈̄̀̀̀̀̆̄̂́́̀̄̀̂̂̂̈̈̃́̂̆̂̀̆̀̃́̆̀̂̀̀̈̆́̀̀̂̄̃́̂̂̀̋̀̂̃̂̇̃̌̊̆̃ Ỏ͖͈̞̩͎̻̫̫̜͉̠̫͕̭̭̫̫̹̗̹͈̼̠̖͍͚̥͈̮̼͕̠̤̯̻̥̬̗̼̳̤̳̬̪̹͚̞̼̠͕̼̠̦͚̫͔̯̹͉͉̘͎͕̼̣̝͙̱̟̹̩̟̳̦̭͉̮̖̭̣̣̞̙̗̜̺̭̻̥͚͙̝̦̲̱͉͖͉̰̦͎̫̣̼͎͍̠̮͓̹̹͉̤̰̗̙͕͇͔̱͕̭͈̳̗̭͔̘̖̺̮̜̠͖̘͓̳͕̟̠̱̫̤͓͔̘̰̲͙͍͇̙͎̣̼̗̖͙̯͉̠̟͈͍͕̪͓̝̩̦̖̹̼̠̘̮͚̟͉̺̜͍͓̯̳̱̻͕̣̳͉̻̭̭̱͍̪̩̭̺͕̺̼̥̪͖̦̟͎̻ ปี้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้
29.00000,4,1,0.0,1,FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan
31.00000,6,1,0.0,5,NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls NO MODS SourPls
31.25000,7,1,6.0,5,KappaPride CURTAINS KappaPride T-SHIRT KappaPride LIPSTICK KappaPride KEYBOARD KappaPride VOICE CRACK KappaPride MUST BE NEVZ KappaPride
31.50000,6,1,-12.0,5,6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace
31.75000,5,2,0.0,5,MEGALUL
32.00000,3,1,1.0,5,Kappa SURE
34.00000,7,2,2.0,1,"@Bad_Zooka thats really for sure... i stopped watchin it, cause i dont like his sense of humor anymore... feels kinda MUST BE FUNNY to me..."
36.00000,6,1,0.0,5,BibleThump 6k viewrs LUL
37.00000,6,1,-7.0,5,6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace 6k VIEWERS? WutFace
37.33333,7,1,-4.0,5,: BibleThump i was watching nevz before he was cool BibleThump and i still watch him now and he doesnt notice me anymore BibleThump and he is still not cool BibleThump
37.66667,4,1,0.0,1,FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan MY CHAT EXPERIENCE FeelsAmazingMan
38.00000,3,1,0.0,5,Hello 6k MrDestructoid MrDestructoid MrDestructoid
38.50000,4,1,0.0,5,My chat experience FeelsOhWait
39.00000,,2,0.0,5,ฏ๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎ํํํํํํํํํํํํํํํํํํํํํํํํํํ ̅̅̃̄̅̂̂̈̄̀̀̀̀̆̄̂́́̀̄̀̂̂̂̈̈̃́̂̆̂̀̆̀̃́̆̀̂̀̀̈̆́̀̀̂̄̃́̂̂̀̋̀̂̃̂̇̃̌̊̆̃ Ỏ͖͈̞̩͎̻̫̫̜͉̠̫͕̭̭̫̫̹̗̹͈̼̠̖͍͚̥͈̮̼͕̠̤̯̻̥̬̗̼̳̤̳̬̪̹͚̞̼̠͕̼̠̦͚̫͔̯̹͉͉̘͎͕̼̣̝͙̱̟̹̩̟̳̦̭͉̮̖̭̣̣̞̙̗̜̺̭̻̥͚͙̝̦̲̱͉͖͉̰̦͎̫̣̼͎͍̠̮͓̹̹͉̤̰̗̙͕͇͔̱͕̭͈̳̗̭͔̘̖̺̮̜̠͖̘͓̳͕̟̠̱̫̤͓͔̘̰̲͙͍͇̙͎̣̼̗̖͙̯͉̠̟͈͍͕̪͓̝̩̦̖̹̼̠̘̮͚̟͉̺̜͍͓̯̳̱̻͕̣̳͉̻̭̭̱͍̪̩̭̺͕̺̼̥̪͖̦̟͎̻ ปี้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้้ ฏ๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎๎
42.00000,,2,0.0,5,╭∩╮( ° ͜ʖ͡°)╭∩╮╭∩╮( ° ͜ʖ͡°)╭∩╮ ╭∩╮( ° ͜ʖ͡°)╭∩╮╭∩╮( ° ͜ʖ͡°)╭∩╮
43.00000,3,1,-5.0,5,"ResidentSleeper ""Alright, voice crack, I guess"" ResidentSleeper ""Haven't yelled in a while, let's yell"" ResidentSleeper ""Autism isn't that good, but alright"" ResidentSleeper"
43.50000,4,1,-8.0,5,CANCER CHAT FeelsAmazingMan CANCER CHAT FeelsAmazingMan CANCER CHAT FeelsAmazingMan CANCER CHAT FeelsAmazingMan CANCER CHAT FeelsAmazingMan CANCER CHAT FeelsAmazingMan CANCER CHAT FeelsAmazingMan CANCER CHAT FeelsAmazingMan
44.00000,1,1,-2.0,5,who th e fuck is hosting this fuck?
45.00000,2,1,0.0,5,I want 1k viewers chat
47.00000,,2,-1.0,5,He sounds Slavic of course he's drunk.
48.00000,,2,0.0,5,0
48.50000,,2,0,3,SoBayed 👌 ZERO SoBayed 👌 NADA SoBayed 👌 NIENTE SoBayed 👌
49.00000,8,1,1.0,1,LUL
49.25000,,2,0,3,MEGALUL
